"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","5,207,730","+7,618","+0.15","+1,003,942","+23.88","+14,526","-","","+777,281","179,023","0.00"

"保有商品の評価額合計","5,207,730","+7,618","+0.15","+1,003,942","+23.88","+14,526","-","","","",""
"国内株式","5,147,925","+7,480","+0.15","+973,640","+23.32","+14,721","-","","+667,321","179,023",""
"米国株式","0","0","0.00","0","0.00","0","-","","-","0","0.00"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","59,805","+138","+0.23","+30,302","+102.71","-195","-","","+109,960","0",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","0","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","0","0","0.00","0","0.00","-","-","","","",""
"預り金","0","0","0.00","0","0.00","-","-","","","",""
"外貨預り金","0","0","0.00","0","0.00","-","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"国内株式","2157","コシダカホールディングス","特定","100","株","1,199.30","円","1,053.0","円","","","0.0","円","105,300","-","-14,630","-12.19"
"国内株式","2379","ディップ","特定","100","株","2,543.00","円","1,893.0","円","","","0.0","円","189,300","-","-65,000","-25.56"
"国内株式","2493","イーサポートリンク","特定","100","株","1,003.00","円","947.0","円","","","-1.0","円","94,700","-","-5,600","-5.58"
"国内株式","2678","アスクル","特定","100","株","1,760.50","円","1,278.0","円","","","-4.0","円","127,800","-","-48,250","-27.40"
"国内株式","2702","日本マクドナルドＨＬＤＧ","特定","100","株","6,426.00","円","8,250.0","円","","","+80.0","円","825,000","-","+182,400","+28.38"
"国内株式","2722","ＩＫホールディングス","特定","100","株","403.00","円","358.0","円","","","0.0","円","35,800","-","-4,500","-11.16"
"国内株式","2752","フジオフードＧ本社","特定","100","株","1,313.00","円","1,147.0","円","","","+3.0","円","114,700","-","-16,600","-12.64"
"国内株式","2796","ファーマライズＨＤ","特定","100","株","619.99","円","501.0","円","","","-3.0","円","50,100","-","-11,899","-19.19"
"国内株式","3053","ペッパーフードサービス","特定","500","株","187.00","円","211.0","円","","","+2.0","円","105,500","-","+12,000","+12.83"
"国内株式","3140","ＢＲＵＮＯ","特定","200","株","998.00","円","1,021.0","円","","","-4.0","円","204,200","-","+4,600","+2.30"
"国内株式","3387","クリエイト・レストランツ・ホール","特定","800","株","783.72","円","787.0","円","","","+4.0","円","629,600","-","+2,620","+0.41"
"国内株式","3645","メディカルネット","特定","100","株","322.00","円","243.0","円","","","0.0","円","24,300","-","-7,900","-24.53"
"国内株式","4755","楽天グループ","特定","100","株","932.80","円","764.5","円","","","-6.3","円","76,450","-","-16,830","-18.04"
"国内株式","4936","アクシージア","特定","200","株","523.10","円","324.0","円","","","+3.0","円","64,800","-","-39,820","-38.06"
"国内株式","6504","富士電機","特定","1","株","11,000.00","円","13,945.0","円","","","-120.0","円","13,945","-","+2,945","+26.77"
"国内株式","6630","ヤーマン","特定","100","株","798.00","円","815.0","円","","","-8.0","円","81,500","-","+1,700","+2.13"
"国内株式","7213","レシップホールディングス","特定","500","株","656.00","円","673.0","円","","","0.0","円","336,500","-","+8,500","+2.59"
"国内株式","7296","エフ・シー・シー","特定","200","株","3,763.25","円","4,155.0","円","","","-5.0","円","831,000","-","+78,350","+10.40"
"国内株式","7388","ＦＰパートナー","特定","100","株","3,013.00","円","2,265.0","円","","","+14.0","円","226,500","-","-74,800","-24.82"
"国内株式","7698","アイスコ","特定","100","株","2,575.00","円","2,644.0","円","","","+6.0","円","264,400","-","+6,900","+2.67"
"国内株式","8079","正栄食品","特定","100","株","4,673.25","円","4,550.0","円","","","-30.0","円","455,000","-","-12,325","-2.63"
"国内株式","8095","アステナホールディングス","特定","500","株","474.00","円","535.0","円","","","-2.0","円","267,500","-","+30,500","+12.86"
"国内株式","9434","ソフトバンク","特定","100","株","216.70","円","240.3","円","","","+5.3","円","24,030","-","+2,360","+10.89"
"投資信託","","楽天・全米株式インデックス・ファンド(楽天・VTI)","特定","13,182","口","45,516.61","円","45,369","円","","","+105","円","59,805","-","-195","-0.32"


"■参考為替レート"

"米ドル","159.36","円/USD","(08/25  12:40)"
"ユーロ","185.81","円/EUR","(08/25  12:39)"
"イギリスポンド","217.20","円/GBP","(08/25  12:39)"
"オーストラリアドル","113.99","円/AUD","(08/25  12:39)"
"ニュージーランドドル","95.00","円/NZD","(08/25  12:40)"
"カナダドル","115.03","円/CAD","(08/25  12:39)"
"トルコリラ","3.31","円/TRY","(08/25  12:39)"
"南アフリカランド","9.94","円/ZAR","(08/25  12:39)"
"ロシアルーブル","1.91","円/RUB","(08/25  12:40)"
"メキシコペソ","9.40","円/MXN","(08/25  12:39)"
